beat,block,day,tract,600ft,1200ft,1800ft,2400ft,3000ft
1731,1613004001,1,161300,0.0,0.0,0.0,0.0,0.0
1731,1613004001,4,161300,0.0,0.0,0.0,0.0,0.0
1731,1613004001,7,161300,0.0,0.0,0.0,0.0,0.0
1731,1613004001,10,161300,0.90329218107,0.0,0.0,0.0,0.939818809316
1731,1613004001,13,161300,0.0,0.0,0.0,0.0,0.0
412,4503003010,1,450300,0.0,0.0,0.531250000013,0.0,0.0
412,4503003010,4,450300,0.0,0.0,0.0,0.0,0.0
412,4503003010,7,450300,0.0,0.0,0.0,1.13472834068,0.0
412,4503003010,10,450300,0.0,0.0,0.0,0.0,0.89939864695
412,4503003010,13,450300,0.0,0.0,0.0,0.0,0.0
726,6713001013,1,671300,0.0,0.0,0.0,0.0,0.0
726,6713001013,4,671300,0.0,0.0,0.0,0.0,0.0
726,6713001013,7,671300,0.0,0.0,0.0,0.0,0.0
726,6713001013,10,671300,0.0,0.0,1.03480381291,0.0,0.0
726,6713001013,13,671300,0.0,0.0,1.06417516043,0.0,0.0
726,6713001012,1,671300,0.0,0.0,0.0,0.0,1.36842105264
726,6713001012,4,671300,0.0,0.0,0.0,0.0,0.0
726,6713001012,7,671300,0.0,0.0,0.0,0.0,0.0
726,6713001012,10,671300,0.0,0.0,1.03480381291,0.0,0.0
726,6713001012,13,671300,0.0,0.0,1.06417516043,0.0,0.0
1212,2423001010,1,242300,0.0,0.0,0.0,0.967230443975,2.00987224154
1212,2423001010,4,242300,0.0,0.882936870997,0.0,0.0,1.01100866043
1212,2423001010,7,242300,0.0,0.0,2.0698308551,0.0,0.0
1212,2423001010,10,242300,0.0,0.0,0.996000475189,0.0,0.0
1212,2423001010,13,242300,0.0,0.0,0.0,2.97318177782,0.0
726,6713001014,1,671300,0.0,0.0,0.0,0.0,0.0
726,6713001014,4,671300,0.0,0.0,0.0,0.0,0.0
726,6713001014,7,671300,0.0,0.0,0.0,0.0,1.00534950071
726,6713001014,10,671300,0.0,0.0,1.03480381291,0.0,0.0
726,6713001014,13,671300,0.0,0.0,1.06417516043,0.0,0.0
812,6406002006,1,640600,0.0,0.0,0.0,0.0,0.599358974375
812,6406002006,4,640600,0.0,1.28355704698,0.0,0.0,0.0
812,6406002006,7,640600,0.0,0.0,0.0,0.0,0.0
812,6406002006,10,640600,0.0,0.0,0.0,0.0,0.0
812,6406002006,13,640600,0.0,0.0,0.0,0.0,0.0
411,8343001013,1,834300,2.72268907562,0.0,0.0,1.13387096774,0.872483221465
411,8343001013,4,834300,0.0,0.0,0.0,2.3665874901,0.0
411,8343001013,7,834300,0.0,0.0,0.0,1.02247191011,0.0
411,8343001013,10,834300,0.0,0.0,0.0,3.08981612448,0.0
411,8343001013,13,834300,0.0,0.0,0.0,0.0,2.00251466888
411,8343001010,1,834300,1.36134453781,0.0,0.0,1.13387096774,0.872483221465
411,8343001010,4,834300,0.0,0.0,2.47582697202,0.0,0.0
411,8343001010,7,834300,0.0,0.0,1.06772575251,0.0,0.0
411,8343001010,10,834300,0.0,0.0,0.0,2.05987741632,1.90814105354
411,8343001010,13,834300,0.0,0.0,0.0,0.0,0.0
422,4604001002,1,460400,0.0,0.997014925378,0.0,0.0,0.0
422,4604001002,4,460400,0.0,0.0,0.0,0.0,1.0027892562
422,4604001002,7,460400,0.0,0.0,0.973970384072,1.05065424266,0.0
422,4604001002,10,460400,0.0,0.0,0.958612741001,1.07870278822,0.977642952125
422,4604001002,13,460400,0.0,0.0,0.0,0.0,0.0
1633,1506001015,1,150600,0.0,1.0,1.5513029316,0.0,0.851441241685
1633,1506001015,4,150600,0.0,0.0,0.0,1.25238237046,0.0
1633,1506001015,7,150600,0.0,0.0,0.0,0.0,0.0
1633,1506001015,10,150600,0.0,1.07193277311,0.0,0.0,0.0
1633,1506001015,13,150600,0.0,0.0,1.14971521562,0.0,0.0
512,5002001005,1,500200,0.0,0.0,0.0,0.0,0.892974753018
