# beat,block,tract,knox_sums,Jan_Mar_ave,Apr_Jun_ave,Jul_Sep_ave,Oct_Dec_ave,expburgs,baseline
412.0, 8343004019.0, 834300.0, 0.0, 0.1, 0.144444, 0.233333, 0.066667, 0.0, 0.00263157894737
412.0, 8343005000.0, 834300.0, 0.0, 0.1, 0.144444, 0.233333, 0.066667, 0.0, 0.00263157894737
412.0, 8343005001.0, 834300.0, 2.52046783625, 0.1, 0.144444, 0.233333, 0.066667, 0.00663281009539, 0.00263157894737
631.0, 4403005011.0, 440300.0, 0.0, 0.088889, 0.211111, 0.111111, 0.1, 0.0, 0.00233918421053
631.0, 4403004010.0, 440300.0, 0.845182563937, 0.088889, 0.211111, 0.111111, 0.1, 0.00197703770857, 0.00233918421053
632.0, 4403001006.0, 440300.0, 0.0, 0.088889, 0.211111, 0.111111, 0.1, 0.0, 0.00233918421053
632.0, 4403002021.0, 440300.0, 0.0, 0.088889, 0.211111, 0.111111, 0.1, 0.0, 0.00233918421053
631.0, 4403002015.0, 440300.0, 1.02324823587, 0.088889, 0.211111, 0.111111, 0.1, 0.0023935661168, 0.00233918421053
623.0, 4403002001.0, 440300.0, 0.0, 0.088889, 0.211111, 0.111111, 0.1, 0.0, 0.00233918421053
623.0, 4403004000.0, 440300.0, 0.0, 0.088889, 0.211111, 0.111111, 0.1, 0.0, 0.00233918421053
632.0, 4403003006.0, 440300.0, 0.0, 0.088889, 0.211111, 0.111111, 0.1, 0.0, 0.00233918421053
631.0, 4403005008.0, 440300.0, 1.02324823587, 0.088889, 0.211111, 0.111111, 0.1, 0.0023935661168, 0.00233918421053
631.0, 4403005009.0, 440300.0, 0.845182563937, 0.088889, 0.211111, 0.111111, 0.1, 0.00197703770857, 0.00233918421053
623.0, 4403005001.0, 440300.0, 0.0, 0.088889, 0.211111, 0.111111, 0.1, 0.0, 0.00233918421053
2411.0, 203023008.0, 20302.0, 0.0, 0.055556, 0.033333, 0.0, 0.022222, 0.0, 0.001462
2411.0, 203023029.0, 20302.0, 0.0, 0.055556, 0.033333, 0.0, 0.022222, 0.0, 0.001462
2411.0, 203023020.0, 20302.0, 0.0, 0.055556, 0.033333, 0.0, 0.022222, 0.0, 0.001462
1121.0, 8366001025.0, 836600.0, 0.0, 0.044444, 0.066667, 0.066667, 0.011111, 0.0, 0.00116957894737
1121.0, 8366001031.0, 836600.0, 0.0, 0.044444, 0.066667, 0.066667, 0.011111, 0.0, 0.00116957894737
1211.0, 8366001001.0, 836600.0, 0.0, 0.044444, 0.066667, 0.066667, 0.011111, 0.0, 0.00116957894737
1121.0, 8366001019.0, 836600.0, 0.0, 0.044444, 0.066667, 0.066667, 0.011111, 0.0, 0.00116957894737
1121.0, 8366001013.0, 836600.0, 0.0, 0.044444, 0.066667, 0.066667, 0.011111, 0.0, 0.00116957894737
524.0, 5305011040.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
523.0, 5305013006.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
522.0, 5305011017.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
523.0, 5305011034.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
523.0, 5305011036.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
523.0, 5305012000.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
523.0, 5305012003.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
522.0, 5305011021.0, 530501.0, 0.0, 0.133333, 0.3, 0.166667, 0.188889, 0.0, 0.00350876315789
