beat,time,knox600ft,knox1200ft,knox1800ft,knox2400ft,knox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat1012,4,15.0689655172,29.4913793103,42.7586206897,61.9482758621,76.275862069,0.01000000,0.02000000,0.23000000,0.63000000,0.95000000
beat1012,7,18.8793103448,44.2931034483,73.6465517241,95.3620689655,119.112068966,0.02000000,0.09000000,0.13000000,0.44000000,0.96000000
beat1012,10,22.8275862069,62.0517241379,93.5775862069,132.560344828,162.112068966,0.03000000,0.02000000,0.19000000,0.63000000,0.99000000
beat1012,13,25.5172413793,73.3017241379,112.629310345,154.99137931,197.775862069,0.08000000,0.03000000,0.28000000,0.33000000,0.81000000
beat1621,1,0.136363636364,0.454545454545,0.772727272727,2.36363636364,2.37878787879,0.82000000,0.95000000,0.86000000,0.53000000,0.59000000
beat1621,4,1.62121212121,3.19696969697,3.65151515152,7.78787878788,9.21212121212,0.21000000,0.41000000,0.52000000,0.28000000,0.27000000
beat1621,7,2.13636363636,5.89393939394,6.77272727273,12.4090909091,16.2272727273,0.40000000,0.35000000,0.78000000,0.34000000,0.46000000
beat1621,10,3.81818181818,7.36363636364,9.37878787879,16.8636363636,17.3484848485,0.29000000,0.30000000,0.69000000,0.20000000,0.29000000
beat1621,13,3.66666666667,7.45454545455,9.68181818182,16.0757575758,20.4848484848,0.32000000,0.34000000,0.66000000,0.36000000,0.43000000
beat1232,1,0.5,1.78571428571,1.7,3.98571428571,4.32857142857,0.89000000,0.79000000,0.96000000,0.90000000,0.87000000
beat1232,4,2.54285714286,5.35714285714,8.84285714286,13.9857142857,14.3714285714,0.75000000,0.95000000,0.98000000,0.92000000,0.97000000
beat1232,7,3.82857142857,8.47142857143,15.7571428571,19.7285714286,24.0285714286,0.64000000,0.92000000,0.92000000,0.98000000,0.98000000
beat1232,10,6.94285714286,13.2285714286,22.6428571429,32.0,32.0857142857,0.68000000,0.95000000,0.89000000,0.93000000,0.87000000
beat1232,13,8.1,18.5,30.5285714286,44.3428571429,44.5142857143,0.72000000,0.80000000,0.91000000,0.85000000,0.96000000
beat631,1,18.6466666667,78.9633333333,125.34,139.68,155.78,0.45000000,0.13000000,0.15000000,0.32000000,0.78000000
beat631,4,64.17,235.593333333,373.563333333,439.656666667,481.993333333,0.17000000,0.02000000,0.01000000,0.09000000,0.17000000
beat631,7,92.9066666667,368.52,595.32,712.743333333,793.746666667,0.61000000,0.15000000,0.03000000,0.04000000,0.08000000
beat631,10,131.253333333,498.076666667,832.983333333,981.02,1091.82,0.77000000,0.22000000,0.15000000,0.09000000,0.11000000
beat631,13,170.573333333,639.093333333,1049.40333333,1237.9,1426.73666667,0.68000000,0.20000000,0.23000000,0.06000000,0.03000000
beat531,1,0.6875,3.13541666667,7.38541666667,10.90625,13.6770833333,0.77000000,0.82000000,0.84000000,0.59000000,0.53000000
beat531,4,5.4375,14.3229166667,22.5,29.1875,34.03125,0.25000000,0.07000000,0.39000000,0.66000000,0.91000000
beat531,7,10.5208333333,31.9791666667,50.9791666667,69.7291666667,79.5104166667,0.39000000,0.17000000,0.24000000,0.45000000,0.90000000
beat531,10,13.1666666667,38.375,62.9895833333,84.15625,102.854166667,0.54000000,0.21000000,0.37000000,0.57000000,0.91000000
beat531,13,19.7604166667,57.8125,97.4895833333,139.916666667,164.572916667,0.52000000,0.47000000,0.66000000,0.76000000,0.76000000
beat2411,1,2.5,4.22950819672,7.08196721311,11.9016393443,13.0245901639,0.04000000,0.20000000,0.22000000,0.44000000,0.17000000
beat2411,4,4.0737704918,11.3606557377,22.7459016393,45.7786885246,59.6721311475,0.54000000,0.53000000,0.72000000,0.35000000,0.49000000
beat2411,7,6.68852459016,21.1393442623,37.4098360656,79.3360655738,109.786885246,0.60000000,0.84000000,0.83000000,0.39000000,0.27000000
beat2411,10,10.5983606557,28.8524590164,55.1885245902,102.885245902,134.81147541,0.55000000,0.75000000,0.93000000,0.66000000,0.80000000
beat2411,13,11.4836065574,35.2131147541,66.4836065574,126.524590164,166.327868852,0.72000000,0.84000000,0.97000000,0.81000000,0.86000000
beat714,1,1.73076923077,3.98076923077,10.5,13.75,15.4807692308,0.21000000,0.38000000,0.27000000,0.29000000,0.04000000
beat714,4,2.30769230769,10.0192307692,16.7692307692,25.6346153846,28.1538461538,0.40000000,0.21000000,0.47000000,0.55000000,0.45000000
beat714,7,4.03846153846,12.3461538462,22.4038461538,35.6153846154,42.3076923077,0.40000000,0.44000000,0.59000000,0.56000000,0.28000000
beat714,10,4.46153846154,14.0769230769,26.9230769231,41.8846153846,48.5576923077,0.42000000,0.48000000,0.68000000,0.85000000,0.83000000
beat714,13,8.30769230769,26.4038461538,47.75,72.6153846154,83.1730769231,0.27000000,0.33000000,0.66000000,0.63000000,0.91000000
beat412,1,4.53623188406,10.8333333333,12.9275362319,14.9057971014,17.2028985507,0.01000000,0.01000000,0.02000000,0.02000000,0.27000000
beat412,4,7.36956521739,19.4710144928,27.8188405797,39.6739130435,47.4057971014,0.06000000,0.01000000,0.39000000,0.73000000,0.98000000
beat412,7,12.3985507246,31.0797101449,49.3623188406,72.615942029,90.5144927536,0.01000000,0.02000000,0.22000000,0.10000000,0.55000000
beat412,10,18.9347826087,40.8115942029,69.9347826087,102.760869565,124.637681159,0.01000000,0.01000000,0.09000000,0.05000000,0.54000000
beat412,13,23.4202898551,54.2826086957,92.9130434783,131.101449275,162.333333333,0.01000000,0.01000000,0.09000000,0.11000000,0.67000000
beat233,1,8.4375,16.25,23.3625,26.3125,25.825,0.10000000,0.36000000,0.51000000,0.48000000,0.64000000
beat233,4,18.8125,49.575,72.7,82.3375,77.05,0.57000000,0.43000000,0.34000000,0.42000000,0.62000000
beat233,7,32.3875,65.55,102.1125,114.45,120.125,0.24000000,0.66000000,0.75000000,0.94000000,0.83000000
beat233,10,37.3875,91.1625,135.9625,149.4,153.275,0.23000000,0.18000000,0.66000000,0.92000000,0.76000000
beat233,13,43.225,121.9875,168.8125,192.125,198.5,0.22000000,0.10000000,0.60000000,0.83000000,0.69000000
beat333,1,2.55102040816,7.30612244898,11.0612244898,16.9387755102,19.2142857143,0.71000000,0.53000000,0.95000000,0.79000000,0.77000000
beat333,4,7.26530612245,26.112244898,45.4795918367,58.7959183673,67.0306122449,0.84000000,0.91000000,0.65000000,0.93000000,0.90000000
beat333,7,17.0306122449,53.5306122449,89.3673469388,111.030612245,117.030612245,0.52000000,0.36000000,0.17000000,0.87000000,0.86000000
beat333,10,22.0510204082,69.5918367347,114.081632653,144.5,156.142857143,0.58000000,0.53000000,0.41000000,0.84000000,0.86000000
beat333,13,30.3469387755,90.0306122449,148.142857143,176.071428571,192.346938776,0.13000000,0.46000000,0.36000000,0.84000000,0.94000000
beat1524,1,2.63953488372,6.8488372093,11.6046511628,14.2209302326,16.1627906977,0.12000000,0.26000000,0.14000000,0.24000000,0.63000000
beat1524,4,4.79069767442,21.1627906977,34.0930232558,44.6046511628,51.3953488372,0.20000000,0.11000000,0.12000000,0.43000000,0.80000000
beat1524,7,6.90697674419,29.6976744186,50.5581395349,65.0930232558,77.8837209302,0.57000000,0.07000000,0.09000000,0.36000000,0.67000000
beat1524,10,7.25581395349,38.4651162791,65.3255813953,92.0930232558,105.941860465,0.53000000,0.26000000,0.21000000,0.41000000,0.39000000
beat1524,13,9.46511627907,41.8953488372,80.8023255814,108.058139535,131.476744186,0.48000000,0.53000000,0.39000000,0.32000000,0.30000000
beat2532,1,0.883720930233,5.26744186047,11.3023255814,18.2790697674,19.1279069767,0.98000000,0.52000000,0.28000000,0.04000000,0.16000000
beat2532,4,2.95348837209,10.9302325581,21.523255814,34.6279069767,40.7790697674,0.86000000,0.61000000,0.55000000,0.20000000,0.05000000
beat2532,7,9.60465116279,23.3255813953,37.6860465116,61.2441860465,66.9651162791,0.13000000,0.26000000,0.32000000,0.03000000,0.08000000
beat2532,10,16.6860465116,36.9186046512,63.023255814,92.6511627907,104.465116279,0.05000000,0.15000000,0.33000000,0.14000000,0.17000000
beat2532,13,18.8720930233,44.7906976744,78.2441860465,114.511627907,132.779069767,0.15000000,0.18000000,0.41000000,0.28000000,0.30000000
beat432,1,5.21830985915,12.985915493,20.2816901408,26.0352112676,36.0633802817,0.02000000,0.01000000,0.01000000,0.03000000,0.01000000
beat432,4,12.6901408451,28.3098591549,47.6478873239,64.4295774648,87.2535211268,0.01000000,0.01000000,0.05000000,0.08000000,0.03000000
beat432,7,17.3661971831,40.6338028169,66.9084507042,94.1408450704,130.626760563,0.01000000,0.04000000,0.03000000,0.10000000,0.04000000
beat432,10,19.1549295775,52.5985915493,93.3098591549,133.295774648,180.323943662,0.01000000,0.12000000,0.11000000,0.29000000,0.17000000
beat432,13,23.0633802817,61.838028169,114.563380282,171.288732394,225.077464789,0.01000000,0.32000000,0.31000000,0.30000000,0.22000000
beat622,1,0.0833333333333,0.625,0.958333333333,1.36111111111,1.27777777778,0.28000000,0.42000000,0.57000000,0.81000000,0.95000000
beat622,4,1.84722222222,5.44444444444,9.59722222222,11.9583333333,15.6666666667,0.41000000,0.44000000,0.51000000,0.67000000,0.96000000
beat622,7,6.58333333333,15.75,22.4722222222,28.5416666667,39.0277777778,0.13000000,0.32000000,0.21000000,0.71000000,0.94000000
beat622,10,7.73611111111,17.4583333333,30.0,37.3611111111,59.1388888889,0.38000000,0.57000000,0.47000000,0.74000000,0.89000000
beat622,13,10.4861111111,25.8055555556,40.2222222222,51.0416666667,70.5416666667,0.34000000,0.33000000,0.34000000,0.70000000,0.93000000
beat2413,1,6.23469387755,17.1173469388,27.6530612245,35.1836734694,44.0357142857,0.28000000,0.44000000,0.50000000,0.82000000,0.89000000
beat2413,4,16.2244897959,52.4336734694,92.3724489796,113.091836735,126.025510204,0.12000000,0.13000000,0.11000000,0.45000000,0.69000000
beat2413,7,25.6020408163,79.3469387755,136.755102041,179.132653061,217.346938776,0.24000000,0.31000000,0.40000000,0.90000000,0.78000000
beat2413,10,33.9183673469,117.826530612,190.06122449,244.37244898,300.112244898,0.14000000,0.15000000,0.51000000,0.96000000,0.68000000
beat2413,13,40.0714285714,141.515306122,230.423469388,304.581632653,378.301020408,0.39000000,0.25000000,0.52000000,0.96000000,0.93000000
beat522,1,1.93670886076,8.60126582278,13.164556962,19.0443037975,22.835443038,0.71000000,0.59000000,0.71000000,0.63000000,0.97000000
beat522,4,9.74050632911,27.1898734177,42.0126582278,60.2088607595,72.2974683544,0.17000000,0.16000000,0.46000000,0.53000000,0.92000000
beat522,7,16.5759493671,46.3291139241,74.6392405063,103.411392405,126.791139241,0.12000000,0.14000000,0.53000000,0.59000000,0.93000000
beat522,10,21.5632911392,71.9050632911,114.126582278,156.924050633,202.32278481,0.27000000,0.15000000,0.30000000,0.55000000,0.81000000
beat522,13,26.3924050633,87.3037974684,145.639240506,204.17721519,254.03164557,0.45000000,0.30000000,0.33000000,0.51000000,0.74000000
beat914,1,10.2384615385,14.5076923077,19.3076923077,24.6153846154,33.3153846154,0.01000000,0.01000000,0.01000000,0.02000000,0.01000000
