beat,time,eknox600ft,eknox1200ft,eknox1800ft,eknox2400ft,eknox3000ft,p600ft,p1200ft,p1800ft,p2400ft,p3000ft
beat215,1,1.17647058824,5.08823529412,7.5,12.1176470588,10.4411764706,0.60000000,0.92000000,0.92000000,0.79000000,0.80000000
beat215,4,2.79411764706,13.2647058824,21.0882352941,24.8823529412,25.5,0.69000000,0.75000000,0.84000000,0.72000000,0.46000000
beat215,7,4.29411764706,19.8529411765,34.7352941176,43.5294117647,47.1176470588,0.84000000,0.72000000,0.87000000,0.83000000,0.27000000
beat215,10,6.05882352941,28.1764705882,50.5294117647,59.9411764706,67.8235294118,0.90000000,0.77000000,0.66000000,0.81000000,0.45000000
beat215,13,7.35294117647,37.5588235294,59.9411764706,74.8529411765,81.1176470588,0.83000000,0.76000000,0.56000000,0.59000000,0.28000000
beat532,1,2.04761904762,4.97619047619,8.30952380952,12.880952381,15.6428571429,0.82000000,0.67000000,0.91000000,0.94000000,0.79000000
beat532,4,3.28571428571,14.0,21.5714285714,28.3333333333,33.0238095238,0.76000000,0.81000000,0.97000000,0.98000000,0.66000000
beat532,7,5.21428571429,21.4523809524,33.2380952381,45.4047619048,57.619047619,0.67000000,0.94000000,0.99000000,0.93000000,0.58000000
beat532,10,6.78571428571,24.119047619,44.0238095238,63.0714285714,69.4285714286,0.64000000,0.73000000,0.92000000,0.80000000,0.63000000
beat532,13,7.64285714286,31.2619047619,55.380952381,80.619047619,84.8333333333,0.49000000,0.68000000,0.91000000,0.68000000,0.48000000
beat1412,1,2.60784313725,8.33333333333,19.1176470588,27.2549019608,30.6274509804,0.11000000,0.21000000,0.67000000,0.12000000,0.67000000
beat1412,4,7.25490196078,25.4901960784,48.8039215686,64.0784313725,78.0784313725,0.30000000,0.86000000,0.84000000,0.33000000,0.36000000
beat1412,7,11.862745098,36.3137254902,72.2549019608,99.4509803922,117.117647059,0.07000000,0.89000000,0.81000000,0.45000000,0.26000000
beat1412,10,13.431372549,51.1176470588,98.2156862745,134.156862745,153.568627451,0.17000000,0.81000000,0.83000000,0.67000000,0.12000000
beat1412,13,19.3529411765,62.6274509804,120.607843137,175.039215686,199.803921569,0.28000000,0.38000000,0.61000000,0.73000000,0.15000000
beat1115,1,0.588235294118,2.64705882353,3.41176470588,4.0,4.0,0.39000000,0.68000000,0.70000000,1.00000000,1.00000000
beat1115,4,2.11764705882,7.41176470588,12.0,14.0,14.0,0.46000000,0.84000000,0.75000000,1.00000000,1.00000000
beat1115,7,4.17647058824,13.4117647059,21.0588235294,24.0,24.0,0.42000000,0.79000000,0.50000000,1.00000000,1.00000000
beat1115,10,5.82352941176,17.5294117647,25.5882352941,32.0,32.0,0.55000000,0.58000000,0.45000000,1.00000000,1.00000000
beat1115,13,5.05882352941,17.6470588235,27.3529411765,32.0,32.0,0.57000000,0.50000000,0.44000000,1.00000000,1.00000000
beat213,1,1.44827586207,2.72413793103,5.8275862069,7.58620689655,9.37931034483,0.76000000,0.81000000,0.82000000,0.34000000,0.61000000
beat213,4,4.48275862069,8.68965517241,17.275862069,24.275862069,30.1724137931,0.90000000,0.97000000,0.90000000,0.72000000,0.46000000
beat213,7,5.58620689655,15.0689655172,27.8620689655,35.8275862069,43.0689655172,0.80000000,1.00000000,0.91000000,0.78000000,0.81000000
beat213,10,6.51724137931,18.5862068966,34.5172413793,47.1379310345,57.8965517241,0.76000000,0.94000000,0.89000000,0.84000000,0.78000000
beat213,13,9.65517241379,23.8275862069,45.4482758621,57.5862068966,72.0344827586,0.38000000,0.85000000,0.72000000,0.97000000,0.77000000
beat112,1,0.714285714286,1.0,2.0,2.0,2.0,0.53000000,0.77000000,1.00000000,1.00000000,1.00000000
beat112,4,0.714285714286,1.57142857143,2.0,2.0,2.0,0.51000000,0.78000000,1.00000000,1.00000000,1.00000000
beat112,7,2.14285714286,3.28571428571,4.0,4.0,4.0,0.85000000,0.95000000,1.00000000,1.00000000,1.00000000
beat112,10,2.14285714286,2.71428571429,4.0,4.0,4.0,0.91000000,0.93000000,1.00000000,1.00000000,1.00000000
beat112,13,2.14285714286,2.57142857143,4.0,4.0,4.0,0.81000000,0.89000000,1.00000000,1.00000000,1.00000000
beat1114,1,0.0,0.0,0.0,0.0,0.0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
beat1114,4,0.0,0.0,0.0,0.0,0.0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
beat1114,7,0.333333333333,1.33333333333,0.666666666667,0.833333333333,1.66666666667,1.00000000,0.47000000,0.16000000,0.75000000,0.64000000
beat1114,10,0.333333333333,0.5,1.33333333333,1.66666666667,1.66666666667,1.00000000,0.42000000,0.22000000,0.72000000,0.66000000
beat1114,13,0.166666666667,1.33333333333,1.5,1.66666666667,1.66666666667,1.00000000,0.51000000,0.22000000,0.72000000,0.69000000
beat1235,1,1.35714285714,5.90476190476,10.0,15.5952380952,18.2857142857,0.10000000,0.09000000,0.64000000,0.81000000,0.99000000
beat1235,4,3.35714285714,11.0238095238,21.6904761905,30.9047619048,36.0714285714,0.11000000,0.11000000,0.55000000,0.71000000,0.90000000
beat1235,7,5.0,16.7380952381,31.0238095238,48.3095238095,56.0714285714,0.21000000,0.24000000,0.52000000,0.87000000,0.86000000
beat1235,10,7.0,23.3571428571,42.380952381,60.0,75.3095238095,0.14000000,0.06000000,0.30000000,0.59000000,0.47000000
beat1235,13,8.88095238095,28.5476190476,49.6666666667,72.880952381,95.7380952381,0.21000000,0.06000000,0.32000000,0.44000000,0.77000000
beat1215,1,4.21153846154,15.2884615385,25.3461538462,33.4807692308,40.6538461538,0.07000000,0.11000000,0.07000000,0.09000000,0.17000000
beat1215,4,10.6538461538,42.5192307692,64.4423076923,87.8653846154,100.615384615,0.06000000,0.06000000,0.12000000,0.01000000,0.03000000
beat1215,7,13.0576923077,45.1923076923,86.8846153846,114.634615385,130.980769231,0.10000000,0.15000000,0.11000000,0.03000000,0.01000000
beat1215,10,18.1538461538,61.0961538462,108.519230769,153.846153846,177.134615385,0.17000000,0.14000000,0.04000000,0.01000000,0.01000000
beat1215,13,21.2307692308,75.3076923077,140.75,183.25,217.730769231,0.03000000,0.09000000,0.09000000,0.01000000,0.01000000
beat2432,1,0.114285714286,0.542857142857,1.14285714286,1.51428571429,1.77142857143,0.67000000,0.56000000,0.69000000,0.86000000,0.15000000
beat2432,4,1.25714285714,4.6,8.31428571429,13.4285714286,14.0,0.24000000,0.50000000,0.24000000,0.51000000,0.01000000
beat2432,7,3.74285714286,11.7142857143,21.5142857143,30.4857142857,36.2285714286,0.48000000,0.47000000,0.23000000,0.19000000,0.15000000
beat2432,10,4.37142857143,17.0571428571,29.1142857143,44.2285714286,52.0571428571,0.21000000,0.20000000,0.14000000,0.08000000,0.03000000
beat2432,13,6.4,22.1142857143,43.0,61.8571428571,73.4857142857,0.47000000,0.18000000,0.04000000,0.12000000,0.01000000
beat2423,1,2.58974358974,5.79487179487,13.2820512821,16.7435897436,16.2051282051,0.01000000,0.05000000,0.25000000,0.09000000,0.04000000
beat2423,4,7.87179487179,21.1538461538,37.7692307692,49.9487179487,52.2051282051,0.14000000,0.24000000,0.23000000,0.03000000,0.01000000
beat2423,7,11.358974359,30.2307692308,50.3846153846,67.8461538462,70.2051282051,0.13000000,0.25000000,0.29000000,0.01000000,0.02000000
beat2423,10,15.358974359,37.5897435897,78.9743589744,90.9487179487,95.5128205128,0.02000000,0.04000000,0.07000000,0.01000000,0.01000000
beat2423,13,20.0512820513,53.9230769231,93.0769230769,123.897435897,124.153846154,0.03000000,0.03000000,0.19000000,0.01000000,0.01000000
beat2433,1,1.65,4.475,8.15,12.4,15.625,0.04000000,0.09000000,0.32000000,0.44000000,0.81000000
beat2433,4,3.85,13.225,24.1,36.125,43.3,0.56000000,0.05000000,0.05000000,0.16000000,0.10000000
beat2433,7,6.0,21.4,33.225,52.625,67.525,0.63000000,0.07000000,0.08000000,0.22000000,0.26000000
beat2433,10,8.6,25.1,50.1,71.575,84.75,0.62000000,0.09000000,0.16000000,0.52000000,0.38000000
beat2433,13,10.6,34.625,61.825,90.35,110.25,0.69000000,0.23000000,0.07000000,0.42000000,0.34000000
beat2012,1,0.4,1.3,1.15,2.0,2.75,0.01000000,0.02000000,0.06000000,0.07000000,0.23000000
beat2012,4,0.6,1.9,2.25,2.25,3.85,0.03000000,0.06000000,0.10000000,0.14000000,0.35000000
beat2012,7,1.65,3.45,4.55,8.25,9.5,0.07000000,0.13000000,0.18000000,0.48000000,0.54000000
beat2012,10,2.55,4.45,6.9,7.95,9.9,0.15000000,0.08000000,0.21000000,0.51000000,0.53000000
beat2012,13,3.25,7.1,7.75,10.95,15.7,0.17000000,0.14000000,0.22000000,0.59000000,0.31000000
beat122,1,0.904761904762,3.33333333333,4.0,5.0,5.47619047619,0.21000000,0.22000000,0.36000000,0.62000000,0.07000000
beat122,4,3.42857142857,10.1428571429,13.0952380952,16.8095238095,17.5714285714,0.74000000,0.69000000,0.11000000,0.48000000,0.46000000
